structure,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,mtot,fermi,band,toten,nelectrons,class
Co2Ge2S6,2.94269,1.69896,11.37556,5.88538,3.39793,11.37492,0.0,-0.0,10.19713,0.0,-0.0,12.55335,3.60257,-0.00016,12.79466,1.14127,1.97705,12.79466,4.08424,3.12,12.79466,2.28281,0.00016,9.95582,1.80142,3.11983,9.95582,4.74383,1.97689,9.95582,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-2.945703,-491.753097,-45.77207797,62.0000,0
Co2GePS6,2.93334,1.69356,12.80631,5.86669,3.38713,12.80557,0.0,-0.0,11.07198,0.0,-0.0,13.48995,3.87955,-8e-05,14.17391,0.9935,1.72095,14.17391,3.92698,3.35983,14.17391,2.42947,6e-05,11.44791,1.71866,2.97668,11.44791,4.65189,2.10395,11.44791,0.215,0.216,0.07,0.006,0.009,0.004,0.007,0.079,0.044,0.072,0.723,-2.839136,-521.421570,-47.12549077,63.0000,0
Co2GeSiS6,2.91293,1.68178,10.62424,5.82588,3.36357,10.62455,-0.0,0.0,9.51417,-0.0,0.0,11.7958,3.68433,-0.00014,12.0796,1.07066,1.85471,12.0796,3.98383,3.19079,12.0796,2.2884,-0.00022,9.21635,1.76854,3.06365,9.21635,4.68186,1.98192,9.21635,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.816217,-477.887708,-47.54875042,62.0000,0
Co2P2S6,2.91023,1.68022,10.23834,5.82048,3.36045,10.23901,0.0,-0.0,9.11487,0.0,-0.0,11.36247,3.70602,0.0003,11.62287,1.05749,1.83103,11.62287,3.96721,3.20936,11.62287,5.02469,5.04038,8.85448,7.67322,3.20965,8.85448,4.7635,1.83132,8.85448,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.837302,-505.497817,-47.80276726,64.0000,0
Co2Si2S6,2.88423,1.66521,10.32622,5.76847,3.33043,10.32829,0.0,-0.0,9.21901,0.0,-0.0,11.4355,3.61953,0.00095,11.76389,1.07529,1.86057,11.76389,3.95789,3.13413,11.76389,5.03317,4.99469,8.89061,7.57741,3.13507,8.89061,4.69481,1.86151,8.89061,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-2.684568,-465.854683,-49.30987832,62.0000,0
Co2SiPS6,2.89091,1.66907,10.36524,5.78183,3.33814,10.36635,0.0,-0.0,9.25343,0.0,-0.0,11.45744,3.67526,0.0005,11.78789,1.05372,1.82409,11.78789,3.94376,3.18262,11.78789,5.01461,5.00677,8.93699,7.61051,3.16825,8.93699,4.72035,1.8394,8.93699,0.361,0.361,0.021,0.027,0.018,0.01,0.015,0.002,0.013,0.005,0.832,-1.908831,-486.952473,-48.73757998,63.0000,0
Cr2Ge2S6,3.03133,1.75014,11.29231,6.06267,3.50028,11.2957,0.0,0.0,10.12431,0.0,0.0,12.4637,3.80928,0.00069,12.82895,1.12729,1.95115,12.82895,4.15743,3.29859,12.82895,2.25338,-0.00069,9.75906,1.90404,3.29927,9.75906,4.93656,1.95183,9.75906,2.952,2.952,0.053,0.053,-0.061,-0.053,-0.058,-0.061,-0.053,-0.058,5.667,-3.277176,-462.616946,-53.17205363,56.0000,1
Cr2GePS6,2.9945,1.72887,10.71672,5.98901,3.45775,10.71994,0.0,-0.0,9.60825,0.0,-0.0,11.90767,3.84729,0.00044,12.22467,1.07124,1.85457,12.22467,4.06499,3.33163,12.22467,5.2287,5.18617,9.20218,7.866,3.25198,9.20218,4.8723,1.93511,9.20218,2.75,2.749,0.028,-0.029,-0.065,-0.058,-0.069,-0.06,-0.045,-0.056,5.146,-1.886302,-468.097912,-54.10325792,57.0000,1
Cr2GeSiS6,2.99801,1.7309,10.88262,5.99604,3.46181,10.88588,-0.0,0.0,9.75699,-0.0,0.0,12.03371,3.87891,0.00076,12.42358,1.05923,1.83311,12.42358,4.05592,3.35885,12.42358,5.25499,5.19194,9.3458,7.86489,3.23851,9.3458,4.86822,1.95498,9.3458,2.958,2.958,0.045,0.033,-0.046,-0.039,-0.043,-0.073,-0.059,-0.069,5.666,-3.119756,-454.791320,-55.03176538,56.0000,1
Cr2P2S6,2.97521,1.71774,10.69084,5.95043,3.43548,10.69404,0.0,-0.0,9.57837,0.0,-0.0,11.80651,3.88627,0.00063,12.20171,1.03263,1.7873,12.20171,4.00675,3.3653,12.20171,5.03936,5.15259,9.18317,7.89301,3.36592,9.18317,4.91889,1.78792,9.18317,3.021,3.021,0.041,0.041,-0.033,-0.033,-0.032,-0.033,-0.033,-0.032,5.926,-1.593472,-484.570768,-54.65054966,58.0000,1
