a,b,x,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,mtot,fermi_en,band_en,tot_en,n_el,class
Ti2,Ge2,Se6,3.21028,1.85346,11.63755,6.42057,3.70692,11.6412,0,0,10.43391,0,0,12.84484,4.03356,0.00108,13.328,1.19445,2.06668,13.328,4.40286,3.49262,13.328,5.5973,5.5593,9.95074,8.43641,3.4937,9.95074,5.22799,2.06776,9.95074,0.23,0.23,0.003,0.003,-0.005,-0.007,-0.006,-0.005,-0.007,-0.006,0.43,-2.641894,-440.917259,-47.33713673,52,0
Ti2,Ge2,Te6,3.47821,2.00815,12.1622,6.95644,4.0163,12.1679,0,0,10.90514,0,0,13.42496,4.35867,0.00253,13.95944,1.30108,2.24847,13.95944,4.77491,3.77346,13.95944,6.07598,6.02192,10.37066,9.13358,3.77598,10.37066,5.65974,2.25099,10.37066,0.261,0.261,0.002,0.002,-0.009,-0.01,-0.01,-0.009,-0.01,-0.01,0.466,-2.039376,-368.898551,-41.01631798,52,0
Ti2,GeP,Se6,3.19209,1.84295,11.22628,6.38418,3.68591,11.22684,0,0,10.09141,0,0,12.44971,4.09117,0.00053,12.87635,1.14697,1.98554,12.87635,4.33814,3.54279,12.87635,5.52628,5.52839,9.5385,8.40877,3.50762,9.5385,5.21748,2.0217,9.5385,0.696,0.696,0.018,0.012,-0.022,-0.02,-0.024,-0.016,-0.011,-0.015,1.314,-2.326077,-446.02875,-48.03098409,53,0
Ti2,GeP,Te6,3.43918,1.98561,12.19838,6.87838,3.97123,12.20332,0,0,10.91573,0,0,13.38056,4.30976,0.0025,13.973,1.28648,2.22324,13.973,4.72133,3.73111,13.973,6.0078,5.95434,10.38073,9.03108,3.73361,10.38073,5.59623,2.22573,10.38073,0.686,0.686,0.014,0.028,-0.026,-0.02,-0.028,-0.02,-0.017,-0.019,1.284,-1.824877,-374.542765,-41.76507068,53,0
Ti2,GeSi,Se6,3.17956,1.83572,11.48751,6.35913,3.67145,11.48995,0,0,10.30967,0,0,12.64767,4.11391,0.0008,13.18995,1.1233,1.94402,13.18995,4.30149,3.56235,13.18995,5.56847,5.50652,9.8073,8.34367,3.43863,9.8073,5.16523,2.06918,9.8073,0.27,0.286,0.003,0.004,-0.006,-0.007,-0.007,-0.008,-0.009,-0.009,0.517,-2.514101,-434.069594,-48.75357455,52,0
Ti2,GeSi,Te6,3.43973,1.98593,12.25483,6.87947,3.97186,12.26014,0,0,10.99816,0,0,13.44703,4.31044,0.0025,14.07851,1.28668,2.22359,14.07851,4.72208,3.7317,14.07851,6.00875,5.95529,10.45912,9.03251,3.7342,10.45912,5.59711,2.22609,10.45912,0.395,-0.404,0,0,-0.002,0,0.003,0.003,0,-0.003,-0.009,-1.916952,-362.372384,-42.00456631,52,0
Ti2,P2,Se6,3.16572,1.82773,11.39549,6.33145,3.65547,11.39738,0,0,10.25843,0,0,12.53444,4.07664,0.00088,13.0405,1.12817,1.95229,13.0405,4.29238,3.53003,13.0405,5.42053,5.48232,9.75237,8.369,3.53091,9.75237,5.2048,1.95316,9.75237,-0.02,-0.02,0,0,0,0,0,0,0,0,-0.038,-1.948904,-459.126853,-48.20759893,54,0
Ti2,P2,Te6,3.4149,1.97159,12.20351,6.8298,3.94319,12.21098,0,0,11.07275,0,0,13.34174,4.27933,0.00248,14.00786,1.27739,2.20754,14.00786,4.68799,3.70476,14.00786,5.96537,5.9123,10.40663,8.96731,3.70724,10.40663,5.55671,2.21002,10.40663,0.815,0.815,0.046,0.046,-0.027,-0.016,-0.028,-0.027,-0.016,-0.028,1.58,-1.713508,-382.635099,-42.33432142,54,0
Ti2,Si2,Se6,3.15396,1.82094,11.48943,6.30792,3.64188,11.49176,0,0,10.36081,0,0,12.62037,4.06225,0.00058,13.18195,1.12334,1.94453,13.18195,4.2763,3.51772,13.18195,5.39963,5.46224,9.79923,8.33854,3.51829,9.79923,5.18558,1.9451,9.79923,0.369,0.369,0.006,0.006,-0.009,-0.008,-0.01,-0.009,-0.008,-0.01,0.695,-2.420819,-428.907472,-50.23290762,52,0
Ti2,Si2,Te6,3.38303,1.95319,12.44351,6.76607,3.90639,12.44995,0,0,11.27332,0,0,13.62015,4.23939,0.00246,14.28268,1.26547,2.18694,14.28268,4.64424,3.67019,14.28268,5.9097,5.85712,10.61079,8.88362,3.67265,10.61079,5.50485,2.18939,10.61079,0.315,0.315,0.002,0.002,-0.01,-0.012,-0.012,-0.01,-0.012,-0.012,0.567,-1.758583,-356.746852,-43.11770429,52,0
